Comment,Rate,Time,User
"Mình mua từ tháng 9/2019. Xài cũng tạm ổn thôi. Màn hình mới nên cảm thấy cảm ứng ko nhạy lắm, hay giật lag, cảm ứng vân tay cũng lâu lâu ko nhạy. Mới dc update lên android 10, có thêm tính năng quay màn hình như iPhone thấy cũng ok. Camera chuyên trị bóng tối.",3,13/04/2020,Nhật Huy
Ko biết camera trước của bạn có bị vàng ko chứ mình cập nhật androib10 xong camera tự động làm vàng da như bệnh gan ấy,0,16/04/2020,Khánh
"Ko bạn ơi, bạn reset lại cài đặt máy ảnh thử.",0,18/04/2020,Nhật Huy
,0,,
"A50 quá tuyệt vời, các bạn nào chê A50 ko nhạy là do các chưa tăng độ nhạy cảm cho A50,và tăng độ nhạy cho bàn phím. Tăng xong cảm ứng rất nhạy, nhiều tính năng hữu ích. ",5,12/04/2020,Mr Châu
Tăng độ nhạy cảm ứng là vào phần nào v ah,0,15/04/2020,Huy
Làm sao để tăng được ạ?,0,16/04/2020,Dương
"Các bạn vào cài đặt, sau đó vào phần màn hình, sau đó kéo xuống là thấy phần tăng độ nhạy cảm ứng là oke. ",0,18/04/2020,Châu
Tăng như nào ạ bạn,0,20/04/2020,Đỗ Hoa
,0,,
"Mua hồi tháng 2 lúc giảm còn 5 triệu mấy .Ai cũng chê nhưng xài 1 tháng rồi mọi thứ đều ổn.Nhân viên tư vẫn nhiệt tình, tầm trung nên không thể đòi hỏi vân tay nhạy.Chs game ít khi bị giật lag.Thiết kế đẹp mắt.Màu lưng máy siêu đẹp.Nói chung những bạn có túi tiền tầm tầm thì vẫn nên mua rất tốt,dành cho làm việc giải trí đều ok.Tin dùng Samsung bao năm",5,11/04/2020,Quỳnh Anh
,0,,
Mới đầu mua mình có nghiên cứu rồi xem nhiều các đánh giá của các bạn đã mua. Nhưng sài được hơn 1 tháng rồi mà máy vẫn ngon pin trâu không hề giật lag như các bạn nói. Tóm lại là rất hài lòng về máy cũng như phục vụ của nhân viên ĐMX. ,5,05/04/2020,Phương Anh
,0,,
tôi vừa mới mua lúc ság máy chạy siêu mượt ko có hiện tượng giật hay lag pin ổn định vân tay tuyệt vời khuôn mặt cũng rất tuyệt vời chơi game thì bao ngon anh em cứ yên tâm khi sử dụng con a50 không hiểu sao các bạn lại chê thậm tệ như vậy.Nhân viên chu đáo nhiệt tình,5,02/04/2020,nguyễn quốc khởi
,0,,
"Máy chạy tốt, dùng lâu cảm giác máy máy hơi nóng. Pin cũng dùng lâu. Thiết kế đẹp mắt. Camera chụp hình khá nét. Mua lúc giảm giá 4tr990 nên cũng khôg dám yêu cầu gì nhiều. Nhân viên phục vụ rất tốt, nhiệt tình",4,30/03/2020,NGUYỄN THỊ THỦY TIÊN
Sao dạo này đang dịch bệnh dt sức mua cũng đang giảm mà giá dt sámung lai đi ngược tăng giá nhỉ 😂,0,11/04/2020,Nguyễn Hà
,0,,
"Có cái điện thoại mà sóng sánh làm không nên, bắt sóng yếu, không ổn định thua cả điện thoại tàu. Ai có chơi game hay cần làm việc gì cần sóng ổn định thì ko nên mua. Vote 0 sao chứ 1 sao cũng không đáng",1,29/03/2020,Anh Nhut
"Tình trạng rớt mạng, mất sóng 4g xuống h+ thường xuyên khi chơi game. Cực kì ức chế -1* luôn",0,03/04/2020,Anh Nhut
,0,,
sau khi cập nhật phiên bản mới vào ngày 26tháng 3 song không đăng kí được vân tay luôn ,2,27/03/2020,phượng chiêm
,0,,
"Hiệu năng máy tốt, chip ổn đủ để chơi game lướt web,... Sóng lúc mạnh lúc yếu, đa phần là khá yếu chỉ từ 2 đến 3 vạch. Nóng nhanh, có lúc máy cực kì nóng. Nhunge máy rất đáng mua.",4,27/03/2020,Tuấn Anh
,0,,
"Trước khi mua sản phẩm thì thấy mọi người chê rất nhiều .theo mình cảm nhận với số tiền bỏ ra thì rất đáng có nhiều chức năng kiểu dáng đẹp mỏng, đặc biệt camera sắc nét đẹp.vân tay ok ko nhạy lắm nhưng với tầm trung như vậy mình thấy quá tuyệt vời rồi  ",5,16/10/2019,Huỳnh Hiền
"Hiệu năng :
     ●     Máy dùng rất tốt nhé mọi người, cái vân tay quang học cũng nhạy mình quét vài lần là quen. Máy này android không phải ios nên khi dùng mọi người chịu khó tối ưu máy mỗi ngày thì máy sẽ mượt mà mọi tác vụ
Game :
     ●      Liên quân fps cao 60 fps không tụt chơi rất mượt có điều do màn hình dài nên nhả chiêu dần sẽ quen, còn pubg thì ổn nhé 
Camera :
     ●       Chụp nét ổn, quay video còn rung nếu bạn nào muốn camera đẹp thì thêm ít tiền mua a50s
Pin   :
     ●        Đủ dùng gần 1 ngày, tắt sạc nhanh cho khỏi chai pin sạc cũng ok không cần đến sạc nhanh là mấy
Trên đây là toàn bộ review của mình sau khi sử dụng máy gần 1 năm các bạn cứ tham khảo
",5,11/03/2020,Âu Quốc Cường
Bạn cập nhật nhận diện vân ty mới chưa?,0,13/03/2020,hiep
Liên quân fps cao 60 thì chơi được 1 ván đầu ván thứ 2 thì tụt giật liên tục...mang tiếng sạc nhanh nhưng còn nên học hỏi oppo...4g wifi bắt khá yếu ,0,16/03/2020,Nguyen Khang
rồi bạn,0,16/03/2020,Quốc Cường
,0,,
Máy lỗi này lỗi nọ hết sạc đến mạng không bắt được 4g dù mấy máy khác 4g khỏe anh em k nên mua mua một lần hối hận luôn ,1,04/03/2020,Lý văn đông
,0,,
Các bạn mua A50 về lên update phần mềm lên nhé ..SS đã update cho phần cảm ứng vân tay rồi nhạy lắm dùng ok .. ,4,15/10/2019,Quang Đạt
,0,,
Galaxy A50 ..pin khỏe...camera đẹp...nhìn bắt mắt...màn hình sắc nét...chạy mượt mà ổn định.. Rất hài lòng ,5,13/10/2019,Tâm
,0,,
"Mua Samsung A50 64GB hôm 07/10/2019, dùng đến hôm nay 13/10/2019, cảm nhận mọi thứ đều ổn theo nhu cầu sử dụng cá nhân. Sắp tới sẽ luôn chọn Samsung.",5,13/10/2019,Minh Thuyết
Dạ cho em hỏi mình mua giá bn ạ?,0,13/10/2019,Thuyy Trangg
"Mua tại Điện Máy Xanh 37 Nguyễn Tất Thành, tp Buôn Ma Thuột, giá 5.490.000 đồng.",0,14/10/2019,Minh Thuyết
,0,,
Mới mua hôm qua lun.Cảm ứng vân tay không nhạy. Nhấn lâu ơi là lâu mà vẫn báo không khớp.chán thiệc.cam sau chính vẫn chưa bit cách sd.,3,13/10/2019,Quỳnh
"Bạn không biết quét vân tay cho chuẩn chứ ko phải nó ko nhạy, A50 của mình quét vân tay mở khoá ngay lập tức, chưa tới 1s",0,13/10/2019,PPN
,0,,
"Chào Quý khách, Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách. Xin cảm ơn",0,05/03/2020,Xong Lê
,0,,
"Máy hơi nóng là có hiện tượng loạn cảm ứng , chơi game hay nhập bàn phím thì không ăn nhảy loạn xạ, tác vụ hằng ngày thì lâu lâu bị đứng r văng,.....",1,03/03/2020,Bảo khanh
,0,,
"Cổng sạc quá dở . Máy thông báo phát hiện đổ ẩm không cho sạc . Dù không hề rớt xuống nước  hay dính bụi bên trong
Mang ra tgdd thì họ nói bị cổng sạc bị oxi hóa nên đổi cho cái khác .. 
Đến hôm nay cái này tiếp tục bị y hệt như vậy
Quá thất vọng",1,28/02/2020,Vương Quý
"Chào quý khách, Thế giới di động sđã ghi nhận và chuyển bộ phận liên quan hỗ trợ quý khách. Cảm ơn quý khách.",0,28/02/2020,Xong Lê
"Chào Quý khách, Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách. Xin cảm ơn",0,03/03/2020,Xong Lê
,0,,
"Loạn cảm ứng liên tục dù mới mua vài tháng. Bực cả mình. Nhiều khi đang gấp làm công việc trên đây mà nhấn thì không ăn, đứng lag",1,23/02/2020,Nguyễn ngọc bảo nghi
Dùng được 2 tuần thấy rất OK nhưng mới mua 6.290.000 giờ còn 5.490.000 buồn ghê vậy đó :)),4,12/10/2019,Nguyễn Đình Chiến
ụa sao được giảm còn 5.490.00 vậy anh,0,16/10/2019,Nghĩa Nguyễn
Tôi con mua 6990 thi sao,0,01/11/2019,Đinh ngọc nam
,0,,
"Mình mua 1 cái màu trắng sài 19 ngày bị lỗi chân sạc đi đổi cái mới về thì thấy trong camera sau có 1 vật gì chắn ngang camera thì có được đổi ko ạ,,và cái mình mới đổi về thì còn được đởi mới bao nhiêu ngày khi có lỗi",3,11/10/2019,Phan văn tá
,0,,
Mới mua được vài ngày mọi thứ vẫn ổn .Nhưng pin mau hết và sạc hơi lâu ,3,10/10/2019,Minh Đức
Bạn cho mình sđt hỏi tí,0,12/10/2019,Giang sơn
,0,,
"Thấy khá ok 
Lúc đầu cũng hơi lo tại thấy nhiều comment chê pin rồi sóng các kiểu. Nhưng mua rồi thấy rất tốt. Lướt face, xem youtube ,nghe gọi hơn 2 ngày mới hết pin sạc lại nhanh chỉ khoảng hơn một tiếng là đầy",5,10/10/2019,Trần Thị Nhung
Thế giới di động đã ghi nhận và chuyển bộ phận liên quan hỗ trợ quý khách,0,24/02/2020,Xong Lê
"Chào Quý khách, Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách. Xin cảm ơn",0,24/02/2020,Xong Lê
,0,,
"sản phẩm nhanh hỏng mic, mới mua được hơn tháng đã hỏng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,17/02/2020,tran huu tinh
,0,,
Máy loa ngoài mau hư. Mới xài mak hư rồi. Cục sạc theo máy cũng hư luôn. Nãn gì đâu mới ra hoàn tiền rồi. Tốn tiền dán kính cường lực tốn xăng nữa,1,13/02/2020,Lê Thạch Duy Thanh
Chả biết sao chứ mua đc gần 1 năm rồi mà sài vẫn bt 😂😂😂,0,18/02/2020,Thằng hề
,0,,
"Máy như "" ... "" Tự hiểu nó lắc vô cùng có khi lag màn hình và đứng luôn ( gặp thường xuyên chứ hong phải đôi lúc ) ok. nhưng mà đối với phân khúc tầm trung giá tiền như vậy là "" không thể chấp nhận được "" méo hiểu tại sao như vậy mà không hề giảm giá nữa chứ kiểu như samsung "" rất tự hào "" về sản phẩm dị á khinh dễ sợ nói chung tui có kinh nghiệm về máy này và rất sợ nên anh em đừng mua nhé tui là người đã trải nghiệm và chia sẽ cho anh em máy tui sài 1 tháng đầu là có hiện tượng dị ời nên mới dám nói máy hiện tại hơn 5 tháng ời nên anh em đừng mua dòng máy này nha kẻo như tui...",1,11/02/2020,Nông Đức Phú
T xài bình thường chả có vấn đề gì :),0,12/02/2020,Nguyễn Quang Khải
Anti đánh giá đó b,0,12/10/2019,Hieu
Dùng ok ko bạn. Mình đang dự tính qua tháng mua.,0,22/11/2019,Thái Thục Oanh
,0,,
A50 quá ngon cho chơi game củng như rất ngon trong tầm giá đc giảm 1.5tr ae đến thế giới di động test và mua đừng tin vào lời đánh giá mà hoang mang tôi thấy đt nào củng bị đánh giá chê nhân viên vui vẻ nhiệt tình đừng vì những lời đánh giá mà hoang mang nhé ae yên tâm mà mua về sài nhé,5,10/10/2019,Mến
,0,,
Điện thoại quá tốt trong tầm tay máy đẹp màn hình đep cam chụp sắc lét giờ lại giảm giá mạnh quá,5,10/10/2019,Tuyến
,0,,
Đẹp thế này mà ai cũng chê ko biết thế nào nữa.màn hình  đẹp cam đẹp màn hình sắc nét ,5,10/10/2019,Quang tuyến
"mình dùng bình thường ko thấy tình trạng như bạn, xài tới 5 tháng rồi mà ko chịu đi bảo hành à?",0,13/02/2020,long
Chắc do bạn xui chứ mình mua cũ mà vẫn mượt,0,13/02/2020,Mingg
"Mình mua máy 5 tháng rồi mà chơi game để chế độ cao vẫn mượt, còn các ứng dụng khác không bị giật lag gì. Máy sài ok",0,16/02/2020,Võ Huy
,0,,
Quá thất vọng về a50 . Bắt sóng kém kinh khủng luôn. Không biết do phần mềm hay phần cứng do nhà sx nữa vậy,1,09/02/2020,Nguyennamthanh
"Minh o q9,  bỏ sim viettel thì 4vach,  mobi thì 2vach,  íu xìu",0,17/02/2020,Trung
,0,,
"Máy dùng tác vụ thông thường thì khá ổn nhưng pin hơi yếu , vân tay rất bất tiện khi bỏ điện thoại trong túi quần vì bị chạm nên không dùng được",3,31/01/2020,Lê quốc hưng
,0,,
sam sung mua mới khi ra tiệm sửa thì mới biết thiếu ốc vit bên trong chắc là đã bán nhầm sản phẩm đã qua bảo hành như vậy không tốt ,1,30/01/2020,Mai ngọc quân
Thế giới di động đã ghi nhận và chuyển bộ phận liên quan hỗ trợ quý khách,0,01/02/2020,Xong Lê
,0,,
Quá thất vọng về máy này sau 4 tháng máy rất nóng khi su dụng zalo messenger giật lag...máy bị yếu đi rất nhìu dù ít chơi game...,1,09/10/2019,Hải chí
mình cũng thấy có người nói xài được vài tháng thì máy bị overheat,0,16/10/2019,Nghĩa Nguyễn
,0,,
"mới mua hôm wa, có ai test được camera trước được
25MP ko, mình tes chỉ được 16MP thôi nhak..này là do bên nào cung cấp sai thông tin dây tak",4,08/10/2019,khánh lê
bạn chuyển từ chế độ 4:3 sang 4:3H là được 25mp,0,09/10/2019,Phi
Chuyển camera về khung hình 3:4 sẽ được bạn ơi.,0,10/10/2019,Hoa Hồng Tím
bạn sửa độ phân giải là 3:4H thử xem,0,11/10/2019,Nguyên
,0,,
"Sản phẩm quá ngon trong tầm giá. Mọi thứ đều ok, mỗi vân tay trong màn hình ko nhạy như Oppo reno và k3. Sam sung tầm trung vậy a50 là quá ngon rồi",5,08/10/2019,Đỗ Trọng Đông
,0,,
"Chuẩn đấy, trước mình mua 1 con sony mới, nhưng về mở Facebook thì đã có ng đăng nhập, ra hỏi nhân viên giải thích ko biết tại sao, thua, toàn bán máy đổi trả giá máy mới",0,02/02/2020,Hoàng Hoài Nam
,0,,
"Sau khi cập nhật bảo mật ngày 11.11.2019 thì nhận diện vân tay cực kỳ tệ. Rất mong samsung sửa lỗi này, đồng thời nên gỡ ứng dụng do 360 phát triển.",3,20/01/2020,Quanghiep
Sao con a50 dùng đươc 1 tháng thì nó báo sạc chậm liên tục vậy.chụp ảnh thì zoom lên chữ bị nhèo không thấy rõ,3,08/10/2019,Trong tinh
"Thế giới di động sẽ liên hệ hướng dẫn, khắc phục lỗi sản phẩm",0,08/10/2019,Xong Lê
Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách,0,08/10/2019,Xong Lê
,0,,
Sản phẩm rớt giá 1.500.00 VNĐ so với lúc mới ra mắt thật là buồn haizz. Camera lấy nét chụp hơi bị lâu. ,3,07/10/2019,Nguyễn Đặng Duy
,0,,
Đổi máy lần 2 thì sạc pin máy nóng 4g wifi lúc có lúc không pin không sài cũng bị tuột  ,1,07/10/2019,Trung
,0,,
Các bác đừng mua điện thoại Samsung Galaxy a50 lỗi nhiều lắm tôi gửi cho thế giới sửa liên tục,1,06/10/2019,bác cháu
Lỗi gì vậy bác ,0,07/10/2019,Tùng
Nâng cấp len 1/2/2020 thì tịt hẳn luôn ý,0,18/03/2020,Cao tuấn
,0,,
"Sau khi sử dụng hơn tuần. Mình thấy pin quá kém, sóng thì cực kém luân. Đã sai khi mua",2,19/01/2020,Nam
,0,,
"Mấy mua tại dmx thị trấn nam ban, lâm hà, lâm đồng. Mọi thứ đều ổn. Trừ cái khoản vân tay sau khi cập nhật bản vá ngày 1/12/2019 . Mong sẽ update lại",4,19/01/2020,Tin Tin
,0,,
"Mua 2 máy a50 máy mới dùng lượng pin 4000mAh mà so vs samsung j7 pro pin chi có 3600mAh ma k bằng j7 PRO thua về mọi mặc,mất lòng tin bên hãng,va k thich chinh sach đỗi trả bên tgdd,tôi đã tin tưởng và mua hàng bên tgdd và dmx,nhưng giờ tôi phải nghĩ lại trước khi mua hàng bên tgdd,và dmx...",1,17/01/2020,Bùi Văn Hoàng
,0,,
Hối hận khi mua máy này máy 2 SIM mà gắn vào sử dụng mạng chậm pin mau hết cục sạc theo máy 3 tháng hỏng ,2,15/01/2020,Nguyễn Hùng
,0,,
Mình sài được 2 tuần .tháyy pin trâu chơi game ngon.tội cái cảm ứng ko được nhạy lắm.còn lại ok hết.nên mua.pi cái cảm ứng nên cho 4 sao,4,03/10/2019,Phú pham
bn vào cài đặt tìm kiếm tăng khả năng cảm ứng ak. ,0,03/10/2019,Đỗ Hoàng Luân
,0,,
"Dùng em này từ 12/9. Nói chung mượt. Ức chế mỗi lỗi kết nối kém mạng kém. Máy dùng 2 sim vẫn hoạt động bình thường nhưng người khác gọi lại báo thuê bao không liên lạc được. Mình chạy grab, ức chế anh này lắm tự dưng mất luôn sóng mạng với 4G. Thành hình tròn luôn, có lúc mất 2 mạng có lúc mất 1 mạng. Cứ mạng nào bật 4G là sập. Rất ức chế. Nếu ae nào mua dung để dùng vào công việc phải sử dụng đến 4G thì nên cân nhắc em A50 này",3,01/10/2019,Nguyễn văn huy
Có bị thường xuyên không bác. E cũng đang định mua e này mà phân vân quá. Cấu hình thì ổn mà mỗi cái sóng với wifi thấy các bác nói mà nản,0,03/10/2019,An an
Mới đầu mua dùng ok ngon. Đc Thời gian bh dùng chán muốn đập ý . Chán sam sung bất đầu từ mấy dòng A này. Chắc do họ sx quá nhiều trong năm lên ko kiểm soát hết lỗi ??. Dòng J thấy ok lắm mà. Thất vọng ss. ,0,06/10/2019,Rain
"mấy bác cứ nói quá,tui mua từ lúc mới ra tới bây giờ càng ngày cập nhật càng ngon,vân tay giờ rất nhạy rồi nhé,pin xài đúng 1 ngày mới phải sạc lại,cấu hình nó thì quá tốt rồi có gì để chê,tui không ohair 1 máy mà là 2 máy lận,1 máy mua sau hồi tháng 7 giá 5.900.000 cũng ngon y vậy mà mấy bác cứ đồn ầm lên lỗi các thứ,cho nên muốn thì cứ mua về trải nghiệm đừng nghe ai hết ,1 số thành phần họ bên hãng khác vào bình luận dìm samsung đó",0,09/10/2019,Nhân
Thế giới di động đã ghi nhận và chuyển bộ phận liên quan hỗ trợ quý khách,0,16/01/2020,Xong Lê
,0,,
Trải nghiệm được 1 tuần.máy dùng rất ổn.sạc đúng chuẩn sạc nhanh.nhân viên TGDD chi nhánh Bùi Thị Xuân_Đà Lạt rất nhiệt tình.mình rất hài lòng.,5,12/01/2020,Hồng Phượng
,0,,
"Nhìn chung máy đẹp mọi chức năng đều ok..pin khá trâu. Nhưng chơi game k đc mượt cho lắm, có hỗ trợ sạc nhanh sao sạc thấy khá lau như k có sạc nhanh vậy",4,10/01/2020,Tiến
,0,,
"Máy của mình cũng bị loạn cảm ứng, nhiều lúc đang đọc truyện mà màn hình bị giật liên tục nhìn nhức mắt lắm luôn, với lại hình như máy này không có sẵn máy tính đúng không ad?",3,27/12/2019,Trần Nguyễn Bảo Hân
"Thế giới di động sẽ liên hệ hướng dẫn, khắc phục lỗi sản phẩm",0,27/12/2019,Xong Lê
"Cập nhập phần mềm, tắt always là ok",0,06/01/2020,Nam
Máy mình bị loạn cảm ứng nhảy như gì,0,09/03/2020,Mai xuân thức
,0,,
"Dùng tuần đầu đc, sau loạn cảm ứng mặc dù ko chơi game, máy đơ, phần mềm lỗi ko bằng máy 2 triệu",1,22/12/2019,Linh đức luân
,0,,
Mình dùng 4 tháng  rồi cũng thấy ổn  bin dùng được  cam tạm được nói chung là được ,5,22/12/2019,Anh tuyến
,0,,
,0,,
"mấy má chê cũng vừa thôi con xài thấy tuyệt vời chứ có gì đâu,muốn không tuột pin thì tắt always on display ,vân tay không nhạy là do thiếu kinh nghiệm đặt không đúng chỗ ,cam chụp góc rộng góc thường gì cũng trên cả tuyệt vời mà cứ chê cam cùi,mua 1 con 10/9 tới 14/9 thấy quá ngon mua thêm 1 con hiện tại quá tốt đó thôi ",5,30/09/2019,Hoàng Nhân
giống ý t ghê thấy chủ yếu là dìm chứ k biết xài chưa nữa. Chứ t thấy xài đã vl vân tay thì sau mấy bản update giờ nó nhạy rồi mặc dù mở k nhanh lắm nhưng nay ấn vào là mở. Camera thì tuyệt với xem phim mọi thứ nói chung là rất tốt. Mà sao thấy nhiều người chê như muốn dìm vậy á,0,06/10/2019,bảo
"chắc nó bên hãng khác vào comment dìm samsung ,tui không phải 1 máy mà 2 máy lận,máy mua lúc mới ra máy mua hồi tháng 7 đợt giảm giá còn 5.900.000 2 máy ngon mà mấy thánh kia phán như đúng rồi,vân tay giờ ngon hơn nhiều nói chung là phê",0,09/10/2019,Nhân
,0,,
"Em mới vừa mua máy hồi sáng mà chiều nay bị đứng máy không dùng được xong còn tự tắt nguồn 
Mai em sẽ đem máy lên thế giới di động để xem lại 😡",2,29/09/2019,Nguyễn Đình Chiến
,0,,
"Mua từ khi ra mắt, được 4 tháng là máy có hiện tượng loạn cảm ứng. Wifi và bắt 4g thì yếu kính khủng, đã thế hay bị lỗi sim 2 nữa chứ. Đành phải bán đi để dùng hãng khác.",1,29/09/2019,Duy Tuấn
,0,,
"Sau hơn 1 tháng sử dụng thì e có nhận xét như sau:
Điện thoại sử dụng khá tốt, chụp ảnh ở mức tạm được, selfe thì ổn, bảo mật vân tay, khuôn mặt thì tốt, pin thì sử dụng được ngày, xài ít thì đc hai ngày (cũng thoải mái lắm) màn hình thì nói chung là ổn, chế độ AOD thì tốt (1 tiếng mấy mới mất 1% pin, máy chơi game khá ổn, nhân viên tư vấn khá nhiệt tình
Nói chung là máy khá ổn so với tầm giá! Xin cảm ơn",5,18/12/2019,Trọng Trí
,0,,
"Sản phẩm tốt. Lúc đầu thấy mọi người chê quá trời, k dám mua, phân vân ghê luôn. Nhưng t tin tưởng ss thường hiệu nổi tiếng, và k hề sai lầm và hối hận khi mua. Dt mượt, nhanh, pin trâu, sóng 4g ở vùng sâu xa yếu.",5,15/12/2019,Nguyen cam thi
,0,,
"Loa samsung a50 bị rè. Hay bị lag. Mọi người đừng nên mua, TÔI THẬT SỰ HỐI HẬN KHI MUA SAMSUSNG A50",1,13/12/2019,Khôi
"Máy lỗi loa đó bạn, đem đổi trả hàng đi",0,11/01/2020,Hoàng Ramiel
Đang sài a50 mà nghe ae chê bai thế.,0,29/02/2020,Quốc
,0,,
Mình thấy máy dùng ổn mà có lúc chơi game hơi lag còn lại đều ngon so với tầm giá,5,12/12/2019,Kim Điều
,0,,
"Sạc phải cấm điện sóng mới cấm sạc dc ,mở nguồn thì cũng phải cấm sạc ko biết tại sao lại vậy",1,28/09/2019,Duc toan
"Thế giới di động sẽ liên hệ hướng dẫn, khắc phục lỗi sản phẩm",0,29/09/2019,Xong Lê
Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách,0,29/09/2019,Xong Lê
,0,,
"Sau khi dùng 1 tháng, tổng quan vấn đề là  máy thỉnh thoảng bị lag, lỗi, ứng dụng quay lung tung như kiểu bị hack, toàn phải khởi động lại máy mỗi khi bị như thế, trước giờ vẫn là fan của samsung nhưng từ khi dùng e a50 này thì mình đã mất tín nhiệm samsung",3,27/09/2019,Trần xuân trường
,0,,
"Nếu samsung đừng quá ham muốn vào công nghệ vân tay trong màn hình mà tập trung vào hiệu năng và pin thì đây chăc chắn là 1 siêu phẩm đáng mua 
nhất của năm.",3,24/09/2019,nguyễn văn dũng
,0,,
Pin của mk dùng nửa ngày là hết r dù chỉ dùng fb nghe nhạc chứ k chơi game. Như vậy có đổi đc k ad ? Mk mới mua 1 tuần,3,21/09/2019,Trần Trung
Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách,0,22/09/2019,Xong Lê
Vân tay khá tệ. Dán kính cường lực về xong k sd vân tay dc luôn. Máy thì hay bị loạn cảm ứng. Cam thì rất oke. Càng sd lâu pin tuột càng nhanh. Hơi bị thất vọng,3,11/12/2019,Trương thị cẩm nhung
Ss dán sẵn miếng dán chống xước màn hình rồi mà.  Đâu cần thêm dầu,0,09/02/2020,Tin tin
,0,,
Sản phẩm okk ! Đôi lúc hơi lag nhưng củng ok lắm ! Cảm ứng nhạy ! Pin củng ổn ! Xem yt hay gì củng ok lắm ! Mình đã sử dụng sản phẩm đc hơn 6 thág và cảm nhận là rất ok,5,09/12/2019,Nguyễn võ minh lợi
,0,,
Mạn 4g quá tệ. Thường xuyên mất xóng. Thất vọng. Uôngt phí tiền. Mong có những bản nhập nhập cải thiện 4g,1,07/12/2019,Phạm Anh quí
4g k lên mạng được ,0,11/12/2019,TuAnanh
Máy xài ngon mình mua được gần 5 tháng mọi thứ điều ok hôm qua mới mua cho bx một con nữa ,5,15/07/2019,Phạm phúc hậu
,0,,
Dùng được hơn hai tháng thấy máy cũng tốt. Dùng được trong tầm giá .pin tốt màn hình đẹp ,4,19/09/2019,Quyết
,0,,
